title,price,sellercontact,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Honda Civic VTi Oriel 1.8 i-VTEC 2014,PKR 38 lacs,,islamabad, Islamabad Islamabad,"['https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885647.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885648.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885649.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885650.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885651.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885652.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885653.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885654.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-2014-102885655.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2014
","86,000 km",Petrol,Manual,Islamabad,White,Local,1800 cc,Sedan,"Jun 08, 2024",8815993,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  In Good Condition.

"
Toyota Hilux Revo Rocco 2023,PKR 1.56 crore,,islamabad, Islamabad Islamabad,"['https://cache4.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885630.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885631.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885632.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885633.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885634.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885635.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885636.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-hilux-revo-rocco-2023-102885637.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2023
","15,000 km",Diesel,Automatic,Islamabad,Black,Local,2800 cc,Pick Up,"Jun 08, 2024",8815987,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  One digits Golden Number.

"
Nissan Sunny EX Saloon Automatic 1.3 1987,PKR 15 lacs,,islamabad, Islamabad Islamabad,"['https://cache2.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885290.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885293.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885303.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885304.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885305.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885316.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/nissan-sunny-1-3-exs-1987-102885320.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","1987
                        ","100,000 km",Petrol,Automatic,Islamabad,White,Imported,1300 cc,Sedan,"Jun 08, 2024",8815968,['not listed'],"
   Saudi Arab embassy clear 2021 Total genuine.Inside out fully original.All service history log maintained.Just like a Zero Meter car.

"
Haval H6 HEV 2024,PKR 1.22 crore,,islamabad," F-11, Islamabad Islamabad","['https://cache1.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884618.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884619.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884620.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884621.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884622.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102884623.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885178.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885179.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885180.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885181.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885182.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885183.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885184.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885185.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/haval-h6-hev-2024-102885187.webp']","2024
                        ","3,450 km",Hybrid,Automatic,Islamabad,Grey,Local,1500 cc,Compact SUV,"Jun 08, 2024",8815919,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Climate Control', ' Cruise Control', ' Front Camera', ' Front Speakers', ' Heated Seats', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Rear AC Vents', ' Rear Camera', ' Rear Speakers', ' Steering Switches', ' Sun Roof', ' USB and Auxillary Cable']","
  100% original. Fully maintained through authorized dealership. Original book is available as wellComplete Exterior + Interior (Piano Black surfaces) PPF. PVC rubber mats, trunk mat. Door edge protector trim.Burgundy Interior. Rear seat protective covers still on

"
Honda Civic VTi Oriel UG Prosmatec 1.6 2004,PKR 20.5 lacs,,islamabad," Defence Phase-2, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513009.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513014.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513012.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513013.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513008.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513010.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513004.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513011.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513006.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513007.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-civic-vti-oriel-prosmatec-ug-2004-102513005.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2004
","130,000 km",Petrol,Automatic,Islamabad,Alabaster Silver,Imported,1600 cc,Sedan,"Jun 08, 2024",8787047,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Civic Japanese imported 2013 register D17 engine stock Airbags stock Auto climate control Projector lamps Type R kit installed In use of army officer Sports mode 17” inch alloy rims Vezel high beam HIDsAndroid panel with back camera Auto viper controlAverage 12-13 in city guaranteedSmart card on my own name Token tax up to date 

"
Honda Fit 1.5 Hybrid S Package 2015,PKR 37.45 lacs,,islamabad, Islamabad Islamabad,"['https://cache3.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882950.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882956.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882953.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882949.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882957.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882958.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882955.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882952.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882951.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-fit-s-package-2015-102882954.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2015
","114,000 km",Hybrid,Automatic,Islamabad,Storm Silver Metallic,Imported,1500 cc,Hatchback,"Jun 08, 2024",8788876,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  3.5 GradeOnly Diggi Repainted Price Negotiable on Spot
    
"
Toyota Corolla Altis Grande CVT-i 1.8 2020,PKR 59.5 lacs,,islamabad," DHA Defence, Islamabad Islamabad","['https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882637.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882630.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882638.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882628.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882639.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882636.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882634.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882635.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882632.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882633.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882629.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-1-8-grande-automatic-2020-102882631.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","47,000 km",Petrol,Automatic,Islamabad,Super white,Local,1800 cc,Sedan,"Jun 08, 2024",8815803,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Toyota Corolla Altis Grandi CvtTop of the Line variant2020 Model YearIslamabad Registered 2ND OwnerTotal GenuineBrand New Condition Not a single penny Work Required 

"
Honda Civic Oriel 1.8 i-VTEC CVT 2017,PKR 49.75 lacs,,islamabad," G-13, Islamabad Islamabad","['https://cache2.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788140.webp', 'https://cache4.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788169.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788174.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788156.webp', 'https://cache2.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788143.webp', 'https://cache2.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788148.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788135.webp', 'https://cache1.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788160.webp', 'https://cache1.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788144.webp', 'https://cache4.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788176.webp', 'https://cache4.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788153.webp', 'https://cache1.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788165.webp', 'https://cache2.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788177.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-civic-oriel-1-8-i-vtec-cvt-2017-100788178.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2017
","110,000 km",Petrol,Automatic,Islamabad,Black,Local,1800 cc,Sedan,"Jun 08, 2024",8662836,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Genuine and immaculate condition.All maintainance work done.Serious buyers contact only.
    
"
Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2022,PKR 67.95 lacs,,islamabad," G-13, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946143.webp', 'https://cache1.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946142.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946146.webp', 'https://cache1.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946144.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946149.webp', 'https://cache3.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946141.webp', 'https://cache3.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946148.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946147.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946154.webp', 'https://cache2.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946150.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946152.webp', 'https://cache3.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946153.webp', 'https://cache4.pakwheels.com/ad_pictures/9994/toyota-corolla-altis-grande-x-cvt-i-1-8-beige-2022-99946156.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","44,000 km",Petrol,Automatic,Islamabad,Super White,Local,1800 cc,Sedan,"Jun 08, 2024",8604265,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  its like zero meter car100% geniune paint spot less condition first ownerfull option grande
    
"
Toyota Passo 2017,PKR 35 lacs,,islamabad," G- 8, Islamabad Islamabad","['https://cache2.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824824.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824829.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824825.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824826.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824828.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824827.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824838.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824837.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824833.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824832.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824835.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824836.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824840.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824839.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-passo-2017-102824841.webp']","2017
","93,279 km",Petrol,Automatic,Islamabad,Silver,Imported,1000 cc,N/A,"Jun 08, 2024",8811553,"[' ABS', ' Air Bags', ' Air Conditioning', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  -PakWheels inspected car-Inspection report attached-Number plates available-2nd Owner-Token Tax Paid-Manufacture 2017- Registered 2018-Documents available-2 keys available
    
"
