title,price,sellercontact,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Toyota Vitz 2006,PKR 19 lacs,,multan," Multan Bypass, Multan Punjab","['https://cache2.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873694.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873690.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873695.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873696.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873691.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873692.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873697.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873698.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873699.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-vitz-2006-102873700.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2006
","189,000 km",Petrol,Automatic,Sindh,White,Imported,1000 cc,N/A,"Jun 08, 2024",8815141,"[' ABS', ' Air Conditioning', ' CD Player', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  2nd owner After Market Alloy rims. Complete original file is availble . Totally driven on petrol. Exchange option can be considered. Price is slightly negotiable. Looking to sell the car urgently.
    
"
Honda Civic VTi Oriel 1.8 i-VTEC 2015,PKR 34.8 lacs,,multan," New Shah Shams Colony, Multan Punjab","['https://cache4.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719082.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719075.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719076.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719079.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719080.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719078.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719077.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719087.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719092.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719091.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719083.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719081.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719094.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719093.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-civic-vti-1-8-i-vtec-oriel-2015-102719095.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2015
","84,280 km",Petrol,Manual,Lahore,White,Local,1800 cc,Sedan,"Jun 08, 2024",8803164,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Honda Civic Rebirth Vti Oriel Manual Manufacturing year 2015Lahore registered 3 cameras 2015 end modelNew remoteFabric seatsToken up to dateEngine gear mechanical 100%Seal to seal genuine Sides minor touch upHome usedBiometric On the spot.All original documents are complete  . Price is bit negotiable.Contact on WhatsApp.
    
"
Honda City 1.5L ASPIRE M/T 2022,PKR 44.95 lacs,,multan," Bosan Road, Multan Punjab","['https://cache3.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790127.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790123.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790133.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790130.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790128.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790129.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790117.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790131.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790126.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790120.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790115.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790132.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790121.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790124.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790122.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790119.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790118.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790116.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790125.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/honda-city-1-5l-aspire-m-t-2023-102790114.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","29,500 km",Petrol,Manual,Punjab,Urban Titanium,Local,1497 cc,Compact sedan,"Jun 08, 2024",8808755,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Climate Control', ' Cruise Control', ' Front Speakers', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Rear AC Vents', ' Rear Camera', ' Rear Speakers', ' Steering Switches', ' USB and Auxillary Cable']","
  Model 2023Delivery 2023Year of manufacture 2022Everything is in genuine condition. As good as a brand new car. Alloy Rims. Original Book is available. All original documents are complete. New tires installed recently. Token tax is up to date. Need to sell the car urgently.
    
"
Toyota Corolla Altis 1.6 X CVT-i Special Edition 2022,PKR 61 lacs,,multan," Peer Khurshed Colony, Multan Punjab","['https://cache1.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699295.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699284.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699278.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699286.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699299.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699279.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699280.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699294.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699300.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699302.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699306.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699303.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699310.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699308.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699309.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699311.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699304.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699313.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/toyota-corolla-altis-1-6-x-cvt-i-special-edition-2022-102699312.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","28,000 km",Petrol,Automatic,Islamabad,White,Local,1600 cc,Sedan,"Jun 08, 2024",8801433,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  just one wheel arch touc rest all geniun
    
"
Suzuki Swift GLX CVT 2024,PKR 50.8 lacs,,multan," Khanewal Road, Multan Punjab","['https://cache1.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870189.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870187.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870186.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870191.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870195.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870193.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870194.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870190.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870198.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870197.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870203.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870202.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870201.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870204.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-swift-glx-cvt-2024-102870200.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2024
                        ",20 km,Petrol,Automatic,Un-Registered,Solid White,Local,1242 cc,Hatchback,"Jun 08, 2024",8814883,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  SUZUKI SWIFT (GLX) (CVT)(2024) (ZERO)WHITE(CVT + TAX PAID)INVOICE : Rs. 5,065,000/-FRESH DELIVERY FRESH INVOICE We will provide you 1) Original invoice2) Company Delivery Letter 3) Company Original NOC for Registration (Own name Registration & transfer facility is also available) (Double Biometric)NOTE:Due to signal issues now a days you can drop text or voice msg on my what's app. (Same number)
    
"
Honda Civic Oriel 2023,PKR 85.5 lacs,,multan," Khanewal Road, Multan Punjab","['https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870055.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870051.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870054.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870053.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870056.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870063.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870059.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870062.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870066.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870065.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870073.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870069.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870079.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870075.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-oriel-2023-102870074.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2023
",10 km,Petrol,Automatic,Un-Registered,Crystal Black Pearl,Local,1500 cc,Sedan,"Jun 08, 2024",8814865,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  HONDA CIVIC ORIEL 1.5 TURBO (2023) (ZERO)CRYSTAL BLACK PEARL WITH BIEGE INTERIOR (CVT + TAX PAID)INVOICE : Rs. 9,029,500/FRESH DELIVERY FRESH INVOICE We will provide you 1) Original invoice2) Company Delivery Letter 3) Company Original NOC for Registration (Own name Registration & transfer facility is also available) (Double Biometric)NOTE:Due to signal issues now a days you can drop text or voice msg on my what's app. (Same number)
    
"
Honda Civic RS 2024,PKR 1 crore,,multan," Khanewal Road, Multan Punjab","['https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869788.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869792.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869794.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869796.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869790.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869793.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869791.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869789.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869798.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869795.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869799.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869797.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869804.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869803.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869801.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869800.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869805.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-civic-rs-2024-102869802.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2024
                        ",10 km,Petrol,Automatic,Un-Registered,Taffeta White,Local,1500 cc,Sedan,"Jun 08, 2024",8814855,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  HONDA CIVIC RS 1.5 TURBO (2024) (ZERO)TAFFETA WHITE WITH BLACK INTERIOR (CVT + TAX PAID)INVOICE : Rs. 9,979,500/FRESH DELIVERY FRESH INVOICE We will provide you 1) Original invoice2) Company Delivery Letter 3) Company Original NOC for Registration (Own name Registration & transfer facility is also available) (Double Biometric)NOTE:Due to signal issues now a days you can drop text or voice msg on my what's app. (Same number)
    
"
Toyota Corolla Altis Grande X CVT-i 1.8 Black Interior 2024,PKR 79 lacs,,multan," Khanewal Road, Multan Punjab","['https://cache2.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869275.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869285.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869286.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869287.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869289.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869277.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869279.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869288.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869292.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869291.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869290.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869296.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869297.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869294.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869295.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869300.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869298.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-corolla-altis-grande-x-cvt-i-1-8-black-interior-2024-102869299.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2024
                        ",25 km,Petrol,Automatic,Un-Registered,White,Local,1800 cc,Sedan,"Jun 08, 2024",8814824,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  TOYOTA COROLLA GRANDE 1.8 X (CVT)(2024) (ZERO) (NEW-ALLOY)(WHT & CVT PAID)CRYSTAL BLACK PEARL WITH BLACK INTERIOR INVOICE : Rs. 77,70,000/-FRESH DELIVERY FRESH INVOICE We will provide you 1) Original invoice2) Company Delivery Letter 3) Company Original NOC for Registration (Own name Registration & transfer facility is also available) (Double Biometric)NOTE:Due to signal issues now a days you can drop text or voice msg on my what's app. (Same number)
    
"
Honda City 1.3 i-VTEC 2011,PKR 24.4 lacs,,multan," Chungi No 9, Multan Punjab","['https://cache1.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262535.webp', 'https://cache1.pakwheels.com/ad_pictures/1021/honda-city-i-vtec-2-2011-102190476.webp', 'https://cache2.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262536.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262539.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262540.webp', 'https://cache1.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262538.webp', 'https://cache4.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262541.webp', 'https://cache2.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102262537.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102266471.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/honda-city-i-vtec-2-2011-102266469.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2011
","166,000 km",Petrol,Manual,Lahore,Black,Local,1300 cc,Sedan,"Jun 08, 2024",8744192,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Honda City 1.3 Model 2011Register Lahore.  Demand : 24.40 lacsFUNCTIONS •All Original Documents clear •Honda City  1.3 menual model 2011 colour Block millage 166k All seals jenion .•Interior and exterior Good condition •None accidental•Enjion suspension 100%•Mechanically 100% perfect•Token tax update•Very neat and clean•New tyres•No any work required just buy and drive•Original documents. •Biometric available. •only serious buyer contact plz•Call or WhatsApp•car can be physical inspect in Layyah•More information contact on this whatsapp Number1 :(0300/6762/862)
    
"
Honda City 1.2L CVT 2022,PKR 43.75 lacs,,multan, Multan Punjab,"['https://cache3.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866028.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866033.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866032.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866036.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866039.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866031.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866030.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866035.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866034.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866038.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866041.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866042.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866046.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866044.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-city-1-2l-cvt-2022-102866045.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","30,500 km",Petrol,Automatic,Punjab,Crystal Black Pearl,Local,1200 cc,Compact sedan,"Jun 08, 2024",8814558,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Complete original file is availble . Call/SMS in office hours only. Petrol driven, CNG never installed . Minor touchups . New tires installed recently . Price is slightly negotiable. Token tax is up to date. Looking to sell the car urgently.
    
"
