title,price,sellercontact,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
KIA Sportage AWD 2020,PKR 70 lacs,,rawalpindi," Askari 1, Rawalpindi Punjab","['https://cache3.pakwheels.com/ad_pictures/1028/kia-sportage-awd-2020-102853535.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/kia-sportage-awd-2020-102853539.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/kia-sportage-awd-2020-102853537.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/kia-sportage-awd-2020-102853536.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/kia-sportage-awd-2020-102853538.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","53,000 km",Petrol,Automatic,Islamabad,White,Local,2000 cc,SUV,"Jun 08, 2024",8813583,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  First Owner - Double Digit Reg NoMaintained by KIA Dealership (All the receipts Available)Under WarrantyNew BatteryExcellent conditionNo AccidentOriginal condition B2B genuine.one door slightly showered
    
"
Suzuki Cultus EURO II 2015,PKR 17.6 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache2.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882123.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882104.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882152.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882116.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882135.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882143.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882124.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882121.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxri-euro-ii-2015-102882122.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2015
","70,000 km",Petrol,Manual,Islamabad,Solid White,Local,1000 cc,Hatchback,"Jun 08, 2024",8815756,"[' AM/FM Radio', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Navigation System', ' Power Locks']","
  Suzuki Cultus 2015 Total Genuine 2 Digit Islamabad NumberGenuine 2 KeysEach and every thing is 100%.Brand New Tyres and Alloy rims installed Only Serious Buyers Contact please.Car condition speaks it self. So no foolish offer.
    
"
Nissan Dayz 2019,PKR 32.4 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache2.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709732.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709733.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709696.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709702.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709735.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709737.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/nissan-dayz-2019-102709734.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2019
","34,000 km",Petrol,Automatic,Un-Registered,Black,Imported,660 cc,N/A,"Jun 08, 2024",8802299,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' Immobilizer Key', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Mitsubhishi Ek Model 2019, Same like Nissan DayzUnregistered 4 Grade Verified Auction SheetDVR Camera, Heated SeatGives Average Around 25 KM/L Price is almost final 
    
"
Suzuki Cultus VXR 2007,PKR 10.45 lacs,,rawalpindi," Cantt, Rawalpindi Punjab","['https://cache2.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875124.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875121.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875120.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875117.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875119.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875122.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875123.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875118.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875125.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875126.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875130.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875131.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875132.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875128.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875129.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875134.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/suzuki-cultus-vxr-2007-102875135.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2007
","79,500 km",Petrol,Manual,Lahore,Dark Blue,Local,1000 cc,Hatchback,"Jun 08, 2024",8815299,"[' AM/FM Radio', ' Air Conditioning', ' Cassette Player', ' Power Locks']","
  Aslam o Alikum Suzuki Cultus 2007modal on my name its totally janwn paint said 2pics touching original number plate is available Life time token paid with original smart card available and original file with hand chill Ac and Heater working water droping engine suspicion ok new tyres and alloy rims instead fuel average local 13 to14 in city Ac and moterway long average 18to19 granted Totally driven on petrol.
    
"
Toyota Camry Up-Spec Automatic 2.4 2005,PKR 23.5 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache3.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445927.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445928.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445929.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445930.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445931.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445932.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445933.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445934.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445935.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445936.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445937.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/toyota-camry-2-4-up-specs-2005-102445938.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2005
","103,000 km",Petrol,Automatic,Karachi,White,Imported,2400 cc,Sedan,"Jun 08, 2024",8781981,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Lightweight allow rims. Original book is available as well. All taxes paid. Few paint touchups on the body. Engine in pristine condition. No call/SMS will be answered after office hours.
    
"
Suzuki Alto VXR 2024,PKR 27 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache4.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845269.webp', 'https://cache1.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845270.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845271.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845279.webp', 'https://cache1.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845285.webp', 'https://cache1.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845288.webp', 'https://cache4.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845289.webp', 'https://cache2.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845290.webp', 'https://cache4.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845291.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845292.webp', 'https://cache2.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845293.webp', 'https://cache1.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845294.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845299.webp', 'https://cache4.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845311.webp', 'https://cache1.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845313.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845322.webp', 'https://cache3.pakwheels.com/ad_pictures/1018/suzuki-alto-vxr-2-2024-101845347.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2024
                        ","2,100 km",Petrol,Manual,Un-Registered,White,Local,660 cc,Hatchback,"Jun 08, 2024",8736510,"[' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Steering']","
  2024 model Alto vxrIn reg 2100 milage For more details contact....
    
"
Range Rover Autobiography P400e 2018,PKR 5.25 crore,,rawalpindi," Bahria Town Rawalpindi, Rawalpindi Punjab","['https://cache3.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871951.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871946.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871948.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871947.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871945.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871944.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871950.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871949.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871952.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871953.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/range-rover-autobiography-p400e-3-2018-102871954.webp']","2018
","32,000 km",Hybrid,Automatic,Islamabad,Grey,Imported,2000 cc,SUV,"Jun 08, 2024",8815054,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Range Rover P400e SWB Color  Exterior :Carpathian GreyInterior :Black leather.2021 Uk Import karachi port cleared.Panoramic glass Sliding roof.Matrix LED headlamps with signature DRL.Heated & ventilated/ massager seats.Rear Recliner Seats.Smokers package.Privacy glass.Cool box.Configurable interior mood lighting-Rotary gear shift knob in leather finish.Paddle shift.Soft close doors.Key less go.Electric tailgate.Meridian surround sound system.Parking aid, Rear electric seats.Memory package.Apple car play.Electric rear window blinds.Massage seats.Cornering brake control (CBC).Illuminated aluminum trade plates
    
"
Nissan Dayz Highway star S hybrid X pro pilot 2020,PKR 38 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache2.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203173.webp', 'https://cache2.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203174.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203181.webp', 'https://cache3.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203183.webp', 'https://cache3.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203184.webp', 'https://cache3.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203187.webp', 'https://cache4.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203205.webp', 'https://cache4.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203208.webp', 'https://cache4.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203210.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203211.webp', 'https://cache4.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203212.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203213.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203214.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203227.webp', 'https://cache4.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203237.webp', 'https://cache2.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203242.webp', 'https://cache1.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203245.webp', 'https://cache3.pakwheels.com/ad_pictures/9320/nissan-dayz-highway-star-s-hybrid-x-pro-pilot-2020-93203249.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","53,110 km",Hybrid,Automatic,Islamabad,Pearl White ,Imported,660 cc,Hatchback,"Jun 08, 2024",8140892,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  In Good Condition.2023 register.left back fender repaint.For more Details Contact..
    
"
Toyota Corolla 2020,PKR 86 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635540.webp', 'https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635545.webp', 'https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635546.webp', 'https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635547.webp', 'https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635549.webp', 'https://cache1.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635550.webp', 'https://cache4.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635551.webp', 'https://cache2.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635552.webp', 'https://cache1.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635555.webp', 'https://cache1.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635557.webp', 'https://cache1.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635558.webp', 'https://cache2.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635559.webp', 'https://cache3.pakwheels.com/ad_pictures/9463/toyota-corolla-2020-94635560.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","140,000 km",Hybrid,Automatic,Un-Registered,White,Imported,1800 cc,N/A,"Jun 08, 2024",8240804,['not listed'],"
  TOYOTA COROLLA MODEL 20204 GRADE VERIFIABLE AUCTION SHEET For more details contact...
    
"
Toyota Prius A 2020,PKR 98 lacs,,rawalpindi, Rawalpindi Punjab,"['https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925787.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925808.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925809.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925810.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925811.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925817.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925824.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925827.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925829.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925830.webp', 'https://cache4.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925833.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925842.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925846.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925849.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925852.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925862.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925864.webp', 'https://cache4.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925865.webp', 'https://cache4.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925867.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925869.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925871.webp', 'https://cache3.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925873.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925875.webp', 'https://cache1.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925876.webp', 'https://cache2.pakwheels.com/ad_pictures/9792/toyota-prius-a-3-2020-97925877.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","88,211 km",Petrol,Automatic,Un-Registered,Pearl White,Imported,1800 cc,Sedan,"Jun 08, 2024",8465014,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Lush Condition.4 grade Auction sheet2024 fresh importElectric seats.heads up displayAuto parkingAuto PilotAnd Much More.Just like a brand New Car.For more details contact...
    
"
