title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Hyundai Santro Club 2008,PKR 12.5 lacs,faisalabad," Canal Road, Faisalabad Punjab","['https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989305.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989320.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989303.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989317.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989304.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989301.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989306.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989322.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989321.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989319.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-santro-club-2-2008-102989323.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2008
","93,000 km",Petrol,Manual,Lahore,Grey,Local,1000 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/hyundai-santro-2008-for-sale-in-faisalabad-8823886,"[' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cassette Player', ' Power Steering']","
  Hyundai Sentro Club Model 2008Registered Lahore Totally genien Engine suspension 100,%Original return file available Biomatric on the spot Power Starring No any work is required Rest free, car Home use naat and clean Carplease contact Serious buyer. Lightweight allow rims .
    
"
Toyota C-HR 2019,PKR 73.5 lacs,faisalabad, Faisalabad Punjab,"['https://cache1.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860845.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860841.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860840.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860842.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860846.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860836.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/toyota-c-hr-g-led-2019-102860837.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2019
","28,000 km",Hybrid,Automatic,Un-Registered,White,Imported,1500 cc,N/A,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-c-hr-2019-for-sale-in-faisalabad-8775235,['not listed'],"
  Toyota Aqua Hybrid Fresh import May 20242021 model1500cc Engineexcellent condition 28,000km milage4 grade with genuine auction sheet

"
Mazda Flair XG 2022,PKR 40.5 lacs,faisalabad," D Ground, Faisalabad Punjab","['https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665782.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665784.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665790.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665777.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665781.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665785.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665779.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665788.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665776.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665774.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665789.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665786.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665787.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665783.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/mazda-flair-xg-4-2022-102665775.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","13,700 km",Petrol,Automatic,Un-Registered,Grey,Imported,660 cc,Mini Van,"Jun 10, 2024",https://www.pakwheels.com/used-cars/mazda-flair-2022-for-sale-in-faisalabad-8798839,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Mazda Flair 2021 model 2024 fresh importAll genuine body.Fuel average around 20km/LHeads up displayParking sensorPush startFront collision brakingLane assistEco idolTraction controlHeated seatsAuto on lights .

"
KIA Sportage FWD 2021,PKR 63.5 lacs,faisalabad," Sargodha Road, Faisalabad Punjab","['https://cache2.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678762.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678760.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678756.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678761.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678766.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678755.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678765.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678763.webp', 'https://cache4.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678759.webp', 'https://cache2.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678753.webp', 'https://cache3.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678754.webp', 'https://cache1.pakwheels.com/ad_pictures/1026/kia-sportage-fwd-2021-102678758.webp']","2021
","67,457 km",Petrol,Automatic,Islamabad,White,Local,2000 cc,SUV,"Jun 10, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-faisalabad-8799889,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  First owner ,Inside out fully original. In showroom condition. Authorized dealership maintained. All service history log maintained. Fitted with new tires. All taxes paid. Price is flexible. Urgently need to sellthe  car.whtsapp call  
    
"
Toyota Crown Royal Saloon 2004,PKR 59 lacs,faisalabad," Peoples Colony, Faisalabad Punjab","['https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768474.webp', 'https://cache1.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768464.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768479.webp', 'https://cache3.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768476.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768475.webp', 'https://cache2.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768473.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768460.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768472.webp', 'https://cache1.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768468.webp', 'https://cache3.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768462.webp', 'https://cache1.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768469.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768471.webp', 'https://cache3.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768478.webp', 'https://cache1.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768465.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768470.webp', 'https://cache3.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768459.webp', 'https://cache3.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768477.webp', 'https://cache2.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768463.webp', 'https://cache4.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768466.webp', 'https://cache2.pakwheels.com/ad_pictures/1017/toyota-crown-royal-saloon-2-2004-101768467.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2004
","65,000 km",Petrol,Automatic,Sindh,Burgundy,Imported,2500 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-crown-2004-for-sale-in-faisalabad-8731111,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' CoolBox', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Toyota Crown Royal Saloon G2500 Cc 4/14Push StartKey Less EntryBeige InteriorMy Personal Name Scnd OwnerSmart CardAthlete Front GillAthlete Alloys 18”Peralli TyresCleanest CrownEngine suspention Drive interior By Look 10/10Tesla Screen InstalledExchange Possible Token UptodateOrignal Num platesComplete DocumentsAll Hids LightsExcellent Car Price is Near To Final. Exchange is possible with other car.
    
"
Honda City 1.3 i-VTEC 2011,PKR 24.9 lacs,faisalabad," Peoples Colony, Faisalabad Punjab","['https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971969.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971975.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971954.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971966.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971961.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971968.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971959.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971956.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971970.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971974.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971973.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971976.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971958.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971967.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971971.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971972.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971960.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971977.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102972062.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2011-102971965.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2011
","100,000 km",Petrol,Manual,Islamabad,Taffeta White,Local,1300 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-faisalabad-8822553,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Honda City 2011/12Manual First Owner From 2011Islamabad Number.Uplift Front Back Bumpers GrillsAlloys Tyre NewAndroid Tv Back Cam.Orignal Mileage 193000.Engine drive interior 10/10By Look 10/10Roof Digi 4 Doors Orignal.Good Conditon Car in this Model.Final Price 2450000. New tires installed recently. Token tax is up to date.
    
"
Suzuki Wagon R Hybrid FX 2018,PKR 29.5 lacs,faisalabad, Faisalabad Punjab,"['https://cache2.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971166.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971146.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971164.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971341.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971293.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971167.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971169.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971168.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-wagon-r-hybrid-fx-2018-102971165.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2018
","65,000 km",Hybrid,Automatic,Un-Registered,Black,Imported,660 cc,Hatchback,"Jun 10, 2024",https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-faisalabad-8822515,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Suzuki Wagon r Hybrid Fx japani 2018 Model 2021import Applied for Safety Sense idling stopHud360 camera SD NavigationBack CameraFX Hybrid Limited (Saftey Edition)Auto Ac Push PanelAbs Braking SystemGenuine Verifiable Auction SheetAuction Sheet Attach For Satisfaction And VerificationRetractable Side MirrorsAll Power WindowsEngine In Clean & Good ConditionClean Interior & ExteriorNew ModelEco Idle TechnologySofa SeatsHeated SeatsPower SteeringPower WindowsPower Side MirrorsDigital Climate Control Air Conditioner & Heater Steering: Power Assist Equipped RackDrivers AirbagPassenger AirbagRear WiperGood Fuel EconomyDual SRS Air Bag
    
"
Honda BR-V i-VTEC 2017,PKR 40.9 lacs,faisalabad," Kohinoor Town, Faisalabad Punjab","['https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568552.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568566.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568558.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568565.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568560.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568567.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568569.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568563.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568562.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568555.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568559.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568516.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568557.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568568.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568554.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568549.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568550.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568564.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568556.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/honda-br-v-i-vtec-4-2017-102568561.webp']","2017
","51,890 km",Petrol,Automatic,Islamabad,Crystal Black Pearl,Local,1500 cc,MPV,"Jun 10, 2024",https://www.pakwheels.com/used-cars/honda-br-v-2017-for-sale-in-faisalabad-8791386,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Honda BRV S AutomaticFull Option Variant2017 Model First OwnerExellent Car In 2017 Model Like 20.21 Model Bumper to Bumper OrignalScratch Less Both Bumpers Also OrignalBoth KeysOrignal Mileage Guranted With Stamp 51000.Islamabad 2 Digit Num.Tyre NewEngine Suspention Drive 10/10Interior Like NewToken UptoDate Smart Card.Demand 42 Near To Final Inside out fully original. As good as a brand new car. All service history log maintained. All taxes paid. Driven on petrol throughout.
    
"
Toyota Yaris Hatchback 2020,PKR 45 lacs,faisalabad," Kohinoor City, Faisalabad Punjab","['https://cache1.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289117.webp', 'https://cache1.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289136.webp', 'https://cache1.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289137.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289116.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289118.webp', 'https://cache1.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289111.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289104.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289113.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289112.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289114.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289115.webp', 'https://cache4.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289110.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289108.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289107.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289102.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289101.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289106.webp', 'https://cache1.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289109.webp', 'https://cache3.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289105.webp', 'https://cache2.pakwheels.com/ad_pictures/9928/toyota-yaris-hatchback-2020-99289103.webp']","2020
","71,000 km",Petrol,Automatic,Un-Registered,White,Imported,1000 cc,N/A,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2020-for-sale-in-faisalabad-8558912,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Toyota Yaris X Push StartModel 2020Import Fresh Dec 2023Pearl White Color4 Grade Verifiable Auction SheetTotal Original Paint like newKey Less EntryRadarTraction ControlLane Depart AssistParking SensorsFront Recording CameraDual Side Multimedia SteeringOriginal Toyota TVApple Car PlayAndroid Auto18+- km/l fuel averageEco ModeDunlop Ensave TyresOrignal Buyer Contact Only  Inside out fully original. In showroom condition. Complete auction sheet available.
    
"
Toyota Prado TX Limited 2.7 2019,PKR 2.85 crore,faisalabad," Canal Road, Faisalabad Punjab","['https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969400.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969401.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969404.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969410.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969407.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969406.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969403.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969408.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969402.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969405.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-limited-3-2019-102969409.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2019
","54,000 km",Petrol,Automatic,Un-Registered,Attitude Black Mica,Imported,2700 cc,SUV,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2019-for-sale-in-faisalabad-8822405,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Toyota Prado TXLModel : 2019Import: Fresh 2024Top of line specs7 seater / Sunroof Black on Black ( Black edition package)Scratchless / Spotless 54K Genuine driven Japan Dual Zone climate control All Multi Electric seats Front Vantilated seats Active Radar & Cruise Control Full Original Japanese Modellista Aero kit & Muffler19” Alloy wheels Brand New Tyres Verifiable mileage and auction sheetNo foolish offers and only serious bites pls 
    
"
