title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Toyota Corolla Fielder Hybrid 2014,PKR 39.5 lacs,islamabad," G-11, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995257.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995260.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995265.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995258.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995262.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995259.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995264.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995261.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995267.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995271.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995268.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995266.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995263.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995270.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995269.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-fielder-hybrid-4-2014-102995272.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2014
","195,000 km",Hybrid,Automatic,Islamabad,White Pearl Crystal Shine,Imported,1500 cc,Station Wagon,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-fielder-2014-for-sale-in-islamabad-8824295,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Urgent sale2014 Model2018 Import Registered on my own name 2-3 piece minor touch upsAbs battery suspension everything perfect 19 plus fuel average in localVery smooth drive like newPrice is already very reasonable so no foolish offers please Location G11 Islamabad Original smart card available Transfer is mandatory
    
"
Suzuki Alto VXR (CNG) 2010,PKR 13.7 lacs,islamabad, Islamabad Islamabad,"['https://cache1.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561897.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561892.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561903.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561895.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561898.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561890.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561904.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561902.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561900.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/suzuki-alto-vxr-cng-2010-102561901.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2010
","130,000 km",Petrol,Manual,Rawalpindi,Graphite Grey,Local,1000 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/suzuki-alto-2010-for-sale-in-islamabad-8790851,"[' AM/FM Radio', ' Air Conditioning', ' Power Locks']","
  100% original. Alloy Rims. Totally driven on petrol. Company fitted CNG but never driven on cng due to good fuel average in petrol In city 15 to 17km & on highway 16 to 18 km.Never been into any accident. Lifetime token tax paid. Will be sold to nearest offer. Inside out fully original. Totally driven on petrol.Never been into any accident. Original Book is available as well. In showroom condition. Original book of this car is also available. All original documents are complete. All token taxes are paid to date. Company fitted CNG. Mechanical 100 percent okay. Heater and AC 100 percent okay. Just buy and drive.
    
"
Honda N Wgn G 2020,PKR 35.5 lacs,islamabad," E-8, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739164.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739168.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739165.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739167.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739170.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739166.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739169.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739171.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/honda-n-wgn-g-52-2020-102739172.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","29,000 km",Petrol,Automatic,Un-Registered,Silver,Imported,660 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-n-wgn-2020-for-sale-in-islamabad-8804653,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Fresh Import, 5 Grade Verified Auction SheetAutomatic, Genuine backview camera, Airbags, Keyless Entry, Powered windows & Mirror, Chill AC, ABSURGENT SALE : For Auction Sheet Verification Link please contact at mobile no
    
"
Nissan Note MEDALIST 2020,PKR 48 lacs,islamabad," E-8, Islamabad Islamabad","['https://cache1.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92909711.webp', 'https://cache4.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92909706.webp', 'https://cache4.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901853.webp', 'https://cache2.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901858.webp', 'https://cache4.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901851.webp', 'https://cache1.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901855.webp', 'https://cache4.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901859.webp', 'https://cache2.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901849.webp', 'https://cache4.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901850.webp', 'https://cache3.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901857.webp', 'https://cache1.pakwheels.com/ad_pictures/9290/nissan-note-medalist-2020-92901852.webp']","2020
","19,270 km",Hybrid,Automatic,Un-Registered,Green,Imported,1200 cc,Mini Van,"Jun 11, 2024",https://www.pakwheels.com/used-cars/nissan-note-2020-for-sale-in-islamabad-8119513,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Full Options, Adaptive Cruise Control, AirbagsVerified Auction Sheet att, 360 View, Front/ Back SensorClimatic Control AC, Retractable MirrorsAuto Windows, Alloy Rims, Good TiresFresh Clear 2023, Model 2020, Smart Keyless Entryنسان نوٹ ٹاپ ماڈل۔ فل آپشنز۔ کروز کنٹرول۔ کلائمیٹ کنٹرول اے سی۔ 360 ڈگری کیمرہ ویو۔ فرنٹ اینڈ بیک سینسرز۔ ویریفائڈ آکشن شیٹ۔ جینئن ائربیگز۔ الائے رم۔ فریش امپورٹ ماڈل 2020
    
"
Toyota Tank G Turbo  2020,PKR 38 lacs,islamabad," E-8, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716615.webp', 'https://cache3.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716620.webp', 'https://cache3.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716618.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716613.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716619.webp', 'https://cache2.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716614.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716617.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716616.webp', 'https://cache2.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716621.webp', 'https://cache4.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716624.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716623.webp', 'https://cache1.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716622.webp', 'https://cache3.pakwheels.com/ad_pictures/9971/toyota-tank-g-turbo-3-2020-99716625.webp']","2020
","65,000 km",Petrol,Automatic,Un-Registered,Silver,Imported,1000 cc,MPV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-tank-2020-for-sale-in-islamabad-8587968,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Keyless Entry', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Genuine & graded carpictures of Japan yard attachedNo running in PakistanVerified Auction sheet R Grade attachedPush startWill be sold to nearest offer
    
"
Toyota Prado TX 2.7 2016,PKR 1.95 crore,islamabad," F-10, Islamabad Islamabad","['https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-4-2016-102994120.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-4-2016-102994124.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-4-2016-102994118.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-4-2016-102994119.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2016
","101,500 km",Petrol,Automatic,Islamabad,Attitude Black Mica,Imported,2700 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2016-for-sale-in-islamabad-8824213,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  16/21/22 Tx 7 setar sunroof untoch 4.5 Grade  Just like a Zero Meter car.first onar 
    
"
Toyota Corolla GLi 1.3 VVTi 2017,PKR 43 lacs,islamabad," G-11, Islamabad Islamabad","['https://cache3.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378948.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378949.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378978.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378981.webp', 'https://cache3.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378979.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378991.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378989.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378980.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378987.webp', 'https://cache3.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378972.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378982.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378990.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378992.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378983.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378977.webp', 'https://cache3.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378988.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378976.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378985.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378986.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-corolla-gli-vvti-2017-102378984.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2017
","36,000 km",Petrol,Manual,Islamabad,White,Local,1300 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2017-for-sale-in-islamabad-8776702,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  100% original. In showroom condition. Authorized dealership maintained. Complete service history available. All taxes paid. Driven on petrol throughout.
    
"
Toyota Prius S Touring Selection 2017,PKR 67.5 lacs,islamabad, Islamabad Islamabad,"['https://cache2.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911540.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911543.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911525.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911524.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911526.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911538.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911542.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911541.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911545.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911544.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911547.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prius-s-touring-selection-2017-102911546.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2017
","116,000 km",Hybrid,Automatic,Islamabad,Super White,Imported,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prius-2017-for-sale-in-islamabad-8817911,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  prius S touring battery or Abs 100%Enguine or Suspention 100%
    
"
Toyota Aqua S 2021,PKR 59.75 lacs,islamabad, Islamabad Islamabad,"['https://cache2.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775522.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775518.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775524.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775525.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775519.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775523.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775520.webp', 'https://cache4.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775521.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775526.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775527.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/toyota-aqua-s-15-2021-102775528.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2021
","70,000 km",Hybrid,Automatic,Un-Registered,Silver,Imported,1500 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-islamabad-8807654,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Toyota Aqua S push
    
"
KIA Sportage FWD 2020,PKR 63 lacs,islamabad, Islamabad Islamabad,"['https://cache1.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924726.webp', 'https://cache4.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924724.webp', 'https://cache3.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924729.webp', 'https://cache4.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924723.webp', 'https://cache4.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924728.webp', 'https://cache4.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924721.webp', 'https://cache1.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924735.webp', 'https://cache2.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924738.webp', 'https://cache4.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924739.webp', 'https://cache3.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924741.webp', 'https://cache3.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924734.webp', 'https://cache1.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924732.webp', 'https://cache3.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924744.webp', 'https://cache2.pakwheels.com/ad_pictures/1019/kia-sportage-fwd-2020-101924730.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","73,000 km",Petrol,Automatic,Islamabad,Navy,Local,2000 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-islamabad-8742330,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  KIA  SPORTAGE (FWD),  2020 model, Mercury blue eye catching colour, Islamabad registered, Only 73000 driven, very well maintained neat and clean interior & exterior, no major dents scratches , fitted with new tyres, first owner, comes along with 2keys & user manual. Unused spare wheel.Only serious buyers may contact for further details, price is negotiable on spot.

"
