title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Hyundai Tucson AWD A/T Ultimate 2023,PKR 83.5 lacs,karachi," Khalid Bin Walid Road, Karachi Sindh","['https://cache4.pakwheels.com/ad_pictures/1029/hyundai-tucson-awd-a-t-ultimate-2023-102995329.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-tucson-awd-a-t-ultimate-2023-102995327.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/hyundai-tucson-awd-a-t-ultimate-2023-102995328.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2023
","1,830 km",Petrol,Automatic,Karachi,Black Diamond Metallic,Local,2000 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/hyundai-tucson-2023-for-sale-in-karachi-8824300,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  1st owner, Scratchless condition, Glass coat done
    
"
Daihatsu Mira G SA III 2021,PKR 43.5 lacs,karachi," Khalid Bin Walid Road, Karachi Sindh","['https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514523.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514520.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514522.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514518.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514525.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514524.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514521.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514508.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514510.webp', 'https://cache3.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514509.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514515.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514516.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514513.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514512.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514511.webp', 'https://cache2.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514514.webp', 'https://cache4.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514519.webp', 'https://cache1.pakwheels.com/ad_pictures/1025/daihatsu-mira-g-sa-iii-2021-102514517.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2021
","33,000 km",Petrol,Automatic,Un-Registered,White,Imported,660 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2021-for-sale-in-karachi-8787134,"[' ABS', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Daihatsu Mira 2021/2024GSA III Limited Edition 4.5 Grade33000 MileagePush StartPearl White Color Back Camera Full Option CarB2B GenuineSlightly Negotiable Fresh ClearUnregistered Available For Sale

"
Audi e-tron 50 Quattro 230 kW 2022,PKR 2.75 crore,karachi, Karachi Sindh,['https://cache3.pakwheels.com/ad_pictures/1020/audi-e-tron-50-quattro-230-kw-2022-102083952.webp'],"2022
","8,500 km",Electric,Automatic,Sindh,Mythos Black Metallic,Local,60.0 kWh,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/audi-e-tron-2022-for-sale-in-karachi-8754445,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  2022 model 2022 registered 100% original body Audi maintained ppf done. Brand new condition.
    
"
Changan Oshan X7 FutureSense 2023,PKR 84.5 lacs,karachi, Karachi Sindh,['https://cache4.pakwheels.com/ad_pictures/1029/changan-oshan-x7-futuresense-2023-102994768.webp'],"2023
","25,000 km",Petrol,Automatic,Karachi,Galaxy Black,Imported,1500 cc,Compact SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/changan-oshan-x7-2023-for-sale-in-karachi-8824266,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Changan oshan x7 future sense  black color poori original 2023 model 2024 registered Only call if interested in 8350000 final 
    
"
Toyota Yaris Hatchback 2021,PKR 45 lacs,karachi," Garden, Karachi Sindh","['https://cache2.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658174.webp', 'https://cache2.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658169.webp', 'https://cache4.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658166.webp', 'https://cache2.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658167.webp', 'https://cache4.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658168.webp', 'https://cache4.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658171.webp', 'https://cache4.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658165.webp', 'https://cache1.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658170.webp', 'https://cache2.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658172.webp', 'https://cache1.pakwheels.com/ad_pictures/1006/toyota-yaris-hatchback-2021-100658173.webp']","2021
","89,000 km",Petrol,Automatic,Un-Registered,White,Imported,1000 cc,N/A,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-karachi-8653907,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
   TOYOTA YARIS 2021 X TOYOTA SAFETY SENCE8 AirbagAnti-Lock BrakesPower SteeringA/CRemote Keyless EntryNavigation SystemDigital MeterAM/FM RadioPower WindowsTinted GlassRear Window WiperPower Door LocksPower Mirrors lane assistspeed limit warningHurry up don't miss out Before budget get your new car Before price are expected to skyrocket
    
"
Honda Civic Oriel 1.8 i-VTEC CVT 2017,PKR 47.5 lacs,karachi," P.E.C.H.S, Karachi Sindh","['https://cache2.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994802.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994797.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994803.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994795.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994798.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994796.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994799.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994801.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994800.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-civic-oriel-1-8-i-vtec-cvt-2017-102994804.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2017
","72,000 km",Petrol,Automatic,Karachi,Black,Local,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-8824260,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Honda civic 1.8 UG Top of the line variantBlack colourMilea 72kMode 2017Registration 2017one piece touchup fenderRest full original Company maintained In good condition
    
"
Daihatsu Mira X 2006,PKR 14.35 lacs,karachi," DHA Defence, Karachi Sindh","['https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994731.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994730.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994729.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994733.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994727.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994728.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994726.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994725.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994736.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994737.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994735.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994732.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/daihatsu-mira-x-8-2006-102994734.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2006
","95,000 km",Petrol,Automatic,Sindh,Red Mica Metallic,Imported,660 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2006-for-sale-in-karachi-8824257,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  *DAIHATSU MIRA*Model Year 2006Registration Year 20123nd Owner Car 660cc Own Powerfull Engine Automatic Transmission4 DoorsPearl RED color 70% Original Paint Back Viper Beidge Room Extraordinary Mint Condition FOR FURTHER DETAILS PLEASE FEEL FREE TO CONTACT *PROGRESSIVE DEALS*
    
"
Toyota Aqua G LED Soft Leather Selection  2014,PKR 36.25 lacs,karachi," DHA Defence, Karachi Sindh","['https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994663.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994667.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994666.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994665.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994662.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994664.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994668.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994661.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994671.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994670.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994674.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994672.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994673.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-aqua-g-led-soft-leather-selection-2014-102994669.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2014
","124,000 km",Hybrid,Automatic,Sindh,Silver metallic,Imported,1500 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-aqua-2014-for-sale-in-karachi-8824252,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  *TOYOTA AQUA G PUSH**TOP OF THE LINE VARIANT*Model Year 2014Registration Year 2017131000km driven 1st Owner Car Push startABS Battery Metallic Silver Colour 82% Original Paint Keyless Entry Climate Control A/CAndroid Navigation Screen Rear View Camera Multimedia Stering Retractable Mirrors Soft Leather Alloywheels Mint Condition FOR FURTHER DETAILS PLEASE FEEL FREE TO CONTACT *PROGRESSIVE DEALS*
    
"
Honda Vezel 2020,PKR 90 lacs,karachi, Karachi Sindh,"['https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470844.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470848.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470846.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470845.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102471078.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102471079.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102471080.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470857.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470854.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470859.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470852.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470860.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470858.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470851.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470853.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470850.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470847.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470855.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470849.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/honda-vezel-2020-102470856.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","83,000 km",Hybrid,Automatic,Un-Registered,Black,Imported,1500 cc,N/A,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-vezel-2020-for-sale-in-karachi-8783835,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Climate Control', ' Cruise Control', ' Front Speakers', ' Heated Seats', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Rear Camera', ' Rear Speakers', ' Steering Switches']","
  HONDA VEZEL MODULO X SENSINGVERY RARE FIND(Hardly any Modulo X available in Pakistan)RU4Originally AWD but can be shifted to 2WDX Modulo Bucket SeatsSofter Suspension All Auto Mirrors18” X Modulo Alloys, ETCMost Superior and Expensive Variant of Honda VezelFresh Cleared 2024
    
"
Toyota Yaris ATIV CVT 1.3 2021,PKR 37.5 lacs,karachi," Korangi, Karachi Sindh","['https://cache4.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780454.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780455.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780452.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780453.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780456.webp', 'https://cache2.pakwheels.com/ad_pictures/1027/toyota-yaris-ativ-cvt-1-3-2021-102780451.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2021
","37,000 km",Petrol,Automatic,Sindh,White,Local,1300 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-yaris-2021-for-sale-in-karachi-8808025,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Toyota Yaris CVT ATIV 1.3 AutomaticModel 2021Registration 20213 piece touchup only( diggi & left side doors)Engine  100%Suspension  100%Full fresh car, fully loaded with smooth driving, no any single work required. only serious buyer can contact. 0.3.3.3.2.4.5.1.2.3.2
    
"
