title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Daihatsu Mira X Limited 2014,PKR 22.2 lacs,lahore," Johar Town, Lahore Punjab","['https://cache1.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461009.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461006.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461007.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461008.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461003.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461005.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/daihatsu-mira-x-limited-3-2014-101461004.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2014
","90,000 km",Petrol,Automatic,Lahore,Burgundy,Local,660 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/daihatsu-mira-2014-for-sale-in-lahore-8709505,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' CD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Model:2014Import:2018 New Rims & Tyres & Battery 2nd Owner On My Own Name Never Been Into Any Accidents 2,3 Minor Shower Only Due To ScratchesReasonably Negotiable On Spot, Better To Visit Low Ballers Stay Away, Demand is Negotiable No Work Required At All Thoroughly Maintained. 
    
"
Toyota Raize Z 2020,PKR 59.5 lacs,lahore," Johar Town, Lahore Punjab","['https://cache2.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366033.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366039.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496900.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366036.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366037.webp', 'https://cache4.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496894.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496899.webp', 'https://cache1.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496896.webp', 'https://cache4.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496895.webp', 'https://cache3.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496901.webp', 'https://cache4.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496892.webp', 'https://cache1.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496903.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496891.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496898.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496897.webp', 'https://cache4.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366035.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366038.webp', 'https://cache1.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366034.webp', 'https://cache2.pakwheels.com/ad_pictures/1023/toyota-raize-z-5-2020-102366040.webp', 'https://cache2.pakwheels.com/ad_pictures/1004/toyota-raize-z-5-2020-100496902.webp']","2020
","59,000 km",Petrol,Automatic,Un-Registered,Silver,Imported,996 cc,Crossover,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-raize-2020-for-sale-in-lahore-8622881,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
   (BOOKING UNIT )RATE FIXED - LOWEST BRAND NEW CAR - IMPORTER WHOLESALE RATE GUARANTEED  Asslam o Alaikum  NOTICE: Before Buying Japanese Car Check Original Auction Sheet(Verify it) and Month/Year of Import(mostly cars used in pakistan as well)    Toyota Raize 2020 Model Raize Z Package (Top Variant) 2024 - 30June-  Fresh Import  New car- Very Low Millage  4.5 Grade (Verifiable Auction Sheet) 100%—————-First Verify then PAY————- (Such unit is Not available in Pakistan) 30km/ litter petrol avg Raize 2019 Raize 2020 Raize 2021 QASWAA MOTORS JAPAN BEST PRICES IN LAHORE  Jazak ALLAH
    
"
Mercedes Benz E Class E200 2003,PKR 48 lacs,lahore," Askari-X, Lahore Punjab","['https://cache2.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871181.webp', 'https://cache3.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871204.webp', 'https://cache2.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871208.webp', 'https://cache2.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871207.webp', 'https://cache1.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871203.webp', 'https://cache2.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871209.webp', 'https://cache3.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871205.webp', 'https://cache3.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871202.webp', 'https://cache2.pakwheels.com/ad_pictures/9587/mercedes-benz-e-class-e-200-2003-95871201.webp', 'https://cache3.pakwheels.com/ad_pictures/9711/mercedes-benz-e-class-e200-2-2003-97111152.webp', 'https://cache4.pakwheels.com/ad_pictures/9711/mercedes-benz-e-class-e200-2-2003-97111374.webp', 'https://cache2.pakwheels.com/ad_pictures/9711/mercedes-benz-e-class-e200-2-2003-97111373.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2003
","172,000 km",Petrol,Automatic,Punjab,White,Imported,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2003-for-sale-in-lahore-8325528,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  BISMIAALAH E ALRAHMAN ALRAHEEM.MERCEDES BENZ E200 ELEGANCESHAHNAWAZ ZERO METER IMPORTBUMPER TO BUMPER IN GENUINE PAINTMAINTAINED BY SHAHNAWAZ AND INHNO MALFUNCTIONFACELIFTED TO 2008 MODEL FRONT AND REARORIGNAL BUMPER AND LIGHTS AVAILABLEBRAND NEW SUSPENSION WITH INVOICES.BRAND NEW TYRES 2023 VERIFIABLE FROM SHOP 1.6LAC UNPREDICTABLE MILEAGE 174000KM GENUINEDONT COMPARE WITH ORDINARY W211CAR ON MY NAMEFILE REG SMART CARD NEW PREVIOUS ALL AVAILABLE COMPLETE DOCUMNETSTRANSFER MUST.NO FOOLISH OFFERSJAZAK ALLAH KHAIR

"
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,PKR 46.5 lacs,lahore," Johar Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028053.webp', 'https://cache1.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028054.webp', 'https://cache4.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028050.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028056.webp', 'https://cache1.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028052.webp', 'https://cache4.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028055.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028049.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028051.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2016
","85,000 km",Petrol,Automatic,Lahore,Modern Steel Metallic,Local,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-8750164,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  One door repainted onlyUg package No dent no scratch Hid lights installed 2nd owner car
    
"
MG HS Trophy 2021,PKR 66.25 lacs,lahore, Lahore Punjab,"['https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869434.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869429.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869431.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869430.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869433.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869428.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869657.webp']","2021
","32,000 km",Petrol,Automatic,Punjab,White,Local,1500 cc,Crossover,"Jun 11, 2024",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-8814840,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Totally Genuine Scratchless Condition New MeterPerfect TyresMechanical 100%Complete Documents And Biometric Contact For Further Details!
    
"
KIA Sportage AWD 2021,PKR 71.75 lacs,lahore," Faisal Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267912.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267906.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267913.webp', 'https://cache1.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267910.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267902.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267911.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267909.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267907.webp', 'https://cache4.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267900.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267903.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267901.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2021
","32,000 km",Petrol,Automatic,Islamabad,White,Local,2000 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-8557388,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Totally Genuine PaintScratch Less Condition Excellent New TyresComplete Documents Contact For Further Details 
    
"
Toyota Fortuner 2.8 Sigma 4 2022,PKR 1.66 crore,lahore," Faisal Town, Lahore Punjab","['https://cache2.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028065.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028072.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028061.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028070.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028067.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028068.webp', 'https://cache3.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028064.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028069.webp', 'https://cache2.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028063.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028062.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028066.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","35,240 km",Diesel,Automatic,Punjab,Black,Local,2800 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-lahore-8472008,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Immaculate Condition Totally Genuine With Parking Sensors Scratch less BodyBrand New TyresFirst Owner Contact For Further Details 

"
Toyota Prado RZ 3.4 (3-Door) 1996,PKR 38 lacs,lahore," Faisal Town, Lahore Punjab","['https://cache4.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363122.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363121.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363126.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363128.webp', 'https://cache4.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363127.webp', 'https://cache1.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363129.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363125.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363124.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363123.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","1996
","130,000 km",Petrol,Automatic,Lahore,White,Imported,3378 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prado-1996-for-sale-in-lahore-8495025,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  3500cc Petrol Engine 2007 Import and Registered Excellent Condition Contact For Further Details 
    
"
Toyota Prado TZ G 3.4 2003,PKR 75 lacs,lahore, Lahore Punjab,"['https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402260.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402271.webp', 'https://cache1.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402263.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402264.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402268.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402270.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402269.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402266.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402267.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402261.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402272.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402262.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402265.webp', 'https://cache1.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402259.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2003
","120,000 km",Petrol,Automatic,Islamabad, Silver Metallic,Imported,3400 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2003-for-sale-in-lahore-8705432,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Car name: PRADO TZMODEL:2003REGISTERED:2020 ISLAMABAD CUSTOM AUCTION CLEAR Engine capacity:3400Fuel type: petrol Transmission: Automatic Height control 4×4 Working Fridge compartment Dual A.cEngine sound less Suspension 100%perfectNew tyres with light weight Alloy rims Battery:newRemarks:2 or 3 piece touching baqi totally genuine condition
    
"
Honda City 1.3 i-VTEC 2010,PKR 23.75 lacs,lahore," Model Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992954.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992956.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992955.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992953.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992958.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992957.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992952.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992959.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2010
","143,000 km",Petrol,Manual,Lahore,Lunar Silver Metallic,Local,1300 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-lahore-8824122,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  I am hereby selling my Honda City Model 2010. Condition of car is still outstanding beacuse of very carefully driven and properly timely maintenance. Just back fender is little showered due to scratches removal. All maintenace work done recently like mobil oil, service etc. Not a single work required just buy and drive. Alloy rims are also installed. For more information and visit you may call on whatsapp (o32IIIII244)and come along with your mechanic for inspection.
    
"
