title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Mercedes Benz C Class C200 2012,PKR 72.5 lacs,rawalpindi," Askari 13, Rawalpindi Punjab","['https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992810.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992809.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992812.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992806.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992814.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992808.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992811.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992807.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992815.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992816.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992817.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992822.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992820.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992821.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992818.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992819.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992823.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992824.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992826.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/mercedes-benz-c-class-c200-2012-102992825.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2012
","123,500 km",Petrol,Automatic,Lahore,Black,Imported,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/mercedes-benz-c-class-2012-for-sale-in-rawalpindi-8824114,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Owned by Army Officer. Exchange is possible   with E250 Mercedes (Difference i wll pay ). Panoramic Roof . Meter Not Tempered.  New Tyres hardly driven 7000km . New Battery . All lubricants changed . Suspension work all done . Shahnawaz import 2012 and registered 2012
    
"
Suzuki Swift DLX 1.3 2011,PKR 18.9 lacs,rawalpindi," Cantt, Rawalpindi Punjab","['https://cache2.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992742.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992746.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992741.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992740.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992736.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992738.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992749.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992752.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992753.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992785.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992784.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992751.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992782.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992788.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992787.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992783.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992781.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992789.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102992786.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/suzuki-swift-1-3l-dlx-2011-102994839.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2011
","125,380 km",Petrol,Manual,Islamabad,Red,Local,1300 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/suzuki-swift-2011-for-sale-in-rawalpindi-8824110,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Assalam o Alaikum * Suzuki Swift DLX 1.3 Navigation 2011  Model * I'm 2nd Owner of this Car * It's Total Genuine Paint just 2 fanders is minor spray due to Scratch rest all Genuine * Islamabad Registered * Smart Card with Token up-to-date * Only 125380 Millage * Fuel Consumption 15 to 16 km local Granted * Engine Ac Heater suspension everything like brand new* Used as a 2nd Car only used in Islamabad * Brand New interior and exterior * Genuine Number Plates Available * Brand New tyers Installed Worth 48000* Car Mainten by Suzuki Company Rawalpindi * All Maintained Records Available * Bring your Painter and Mechanic for your Satisfaction only Serious persons contact me Thanks Complete service details available.
    
"
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2008,PKR 21.5 lacs,rawalpindi," Airport Housing Society, Rawalpindi Punjab","['https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893437.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893434.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893439.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893441.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893435.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893436.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893440.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893443.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893448.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893447.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893445.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893444.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893442.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893449.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893446.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2008-102893494.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2008
","233,000 km",Petrol,Automatic,Islamabad,Grey,Local,1800 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/honda-civic-2008-for-sale-in-rawalpindi-8804834,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  honda civic reborn 1.8 oriel prosmatec.Fuel 11km with AC.Seal to seal Genuine.Shower for fresh look chat Geniun paint.Home used car.No work required.Smart card on my name.Excise number plate.3pm k baad rabta kijiye ga..
    
"
Toyota Corolla XLi VVTi 2020,PKR 39 lacs,rawalpindi," Bahria Town Rawalpindi, Rawalpindi Punjab","['https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962703.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962695.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962692.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962691.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962690.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962697.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962699.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962688.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962693.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962706.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962707.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962702.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-xli-vvti-2020-102962700.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2020
","40,000 km",Petrol,Manual,Islamabad,White,Local,1300 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-rawalpindi-8821714,"[' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Immobilizer Key', ' Power Mirrors', ' Power Steering']","
  first owner
    
"
Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,PKR 63 lacs,rawalpindi," Chandni Chowk, Rawalpindi Punjab","['https://cache1.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534692.webp', 'https://cache3.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534691.webp', 'https://cache3.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534698.webp', 'https://cache4.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534693.webp', 'https://cache3.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534703.webp', 'https://cache3.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534694.webp', 'https://cache3.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534704.webp', 'https://cache4.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534690.webp', 'https://cache4.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534702.webp', 'https://cache4.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534705.webp', 'https://cache4.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534701.webp', 'https://cache1.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534706.webp', 'https://cache1.pakwheels.com/ad_pictures/9953/toyota-corolla-altis-x-automatic-1-6-special-edition-2022-99534709.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","22,000 km",Petrol,Automatic,Islamabad,Black,Local,1600 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2022-for-sale-in-rawalpindi-8575441,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  After Market Alloy rims. Fully maintained through authorized dealership. 100% original . All original documents are complete  . All service history log maintained. Totally driven on petrol. All token taxes are paid for life . Just like a Zero Meter car. Fitted with new tires.
    
"
Toyota Corolla Altis Grande 1.8 2018,PKR 59.8 lacs,rawalpindi," Peshawar Road, Rawalpindi Punjab","['https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914983.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914984.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914986.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914987.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914985.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914988.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914981.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914982.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914993.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914989.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914995.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914992.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914996.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914991.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914994.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914990.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914998.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102915000.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914997.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-corolla-altis-1-8-grande-2018-102914999.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2018
","22,000 km",Petrol,Automatic,Islamabad,Super White,Local,1800 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-rawalpindi-8818208,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  First ownerOccasionally used very less driven within cityOrignal mileage 100% orignal bumper to bumper paint (Guranteed)brand new & scratchless condition All stock condition & close to brand new Price is almost final
    
"
Toyota Vitz F 1.0 2006,PKR 20.7 lacs,rawalpindi, Rawalpindi Punjab,"['https://cache4.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855313.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855315.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855317.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855318.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855320.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855321.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855322.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855323.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855324.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855325.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855326.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855327.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855328.webp', 'https://cache4.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855329.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855330.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855331.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855332.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855333.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855334.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855335.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855336.webp', 'https://cache1.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855337.webp', 'https://cache2.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855338.webp', 'https://cache3.pakwheels.com/ad_pictures/9785/toyota-vitz-1-3-racy-rs-2-2006-97855339.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2006
","150,000 km",Petrol,Automatic,Islamabad,Red,Imported,1000 cc,Hatchback,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-vitz-2006-for-sale-in-rawalpindi-8460191,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  2006 model 2009 registered Islamabad num Own name 1000ccLife time token for further details contact.
    
"
Honda City 1.3 i-VTEC Prosmatec 2014,PKR 30.5 lacs,rawalpindi, Rawalpindi Punjab,"['https://cache3.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784941.webp', 'https://cache4.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784950.webp', 'https://cache2.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784960.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784966.webp', 'https://cache1.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784975.webp', 'https://cache1.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784990.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784993.webp', 'https://cache2.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784997.webp', 'https://cache4.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784998.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100784999.webp', 'https://cache3.pakwheels.com/ad_pictures/1007/honda-city-i-vtec-prosmatec-2014-100785000.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2014
","100,000 km",Petrol,Automatic,Islamabad,Black,Local,1300 cc,Sedan,"Jun 10, 2024",https://www.pakwheels.com/used-cars/honda-city-2014-for-sale-in-rawalpindi-8662613,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Honda city 1.3 auto 2014 modal Islamabad numberminer teaching For more details contact...
    
"
Toyota Prado TX 3.0D 2002,PKR 58 lacs,rawalpindi," Satellite Town, Rawalpindi Punjab","['https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984876.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984874.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984872.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984878.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984877.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984873.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984879.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/toyota-prado-tx-3-0d-2002-102984875.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2002
",180 km,Diesel,Automatic,Lahore,Silver,Imported,3000 cc,SUV,"Jun 10, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2002-for-sale-in-rawalpindi-8823556,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cassette Player', ' DVD Player', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  home used .imported . all fit car zero work chill ac . good fuel milage 2006 registerd . bridgrstone 10/10 brand new tyres . all okay just buy and drive 
    
"
KIA Sportage Black Limited Edition 2024,PKR 86.5 lacs,rawalpindi," Bahria Town Rawalpindi, Rawalpindi Punjab","['https://cache2.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445416.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445418.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445415.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445414.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445421.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445417.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445420.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445419.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445423.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445425.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445424.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445422.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445427.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445428.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445426.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445430.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445429.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/kia-sportage-black-limited-edition-2024-102445431.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2024
                        ","13,700 km",Petrol,Automatic,Islamabad,Black,Local,2000 cc,SUV,"Jun 10, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2024-for-sale-in-rawalpindi-8781948,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Fully maintained through authorized dealership. 100% original . All original documents are complete  . All service history log maintained. Totally driven on petrol. Just like a Zero Meter car. Token tax is up to date. Need to sell the car urgently.
    
"
